bfs_nummer,municipality_name,population_density,year
1,Aeugst am Albis,250.6,2018
1,Aeugst am Albis,250.4,2019
1,Aeugst am Albis,254.6,2020
1,Aeugst am Albis,251.3,2021
1,Aeugst am Albis,251.7,2022
1,Aeugst am Albis,252.2,2024
2,Affoltern am Albis,1154.8,2018
2,Affoltern am Albis,1161.8,2019
2,Affoltern am Albis,1160.4,2020
2,Affoltern am Albis,1171.3,2021
2,Affoltern am Albis,1188.7,2022
2,Affoltern am Albis,1216.4,2024
3,Bonstetten,746.7,2018
3,Bonstetten,749.9,2019
3,Bonstetten,755,2020
3,Bonstetten,758,2021
3,Bonstetten,756.9,2022
3,Bonstetten,768.8,2024
4,Hausen am Albis,272.1,2018
4,Hausen am Albis,275.8,2019
4,Hausen am Albis,279.5,2020
4,Hausen am Albis,283.2,2021
4,Hausen am Albis,285.2,2022
4,Hausen am Albis,290.5,2024
5,Hedingen,571.8,2018
5,Hedingen,578.6,2019
5,Hedingen,581.2,2020
5,Hedingen,578.9,2021
5,Hedingen,592.8,2022
5,Hedingen,612.9,2024
6,Kappel am Albis,146.1,2018
6,Kappel am Albis,154.2,2019
6,Kappel am Albis,157.2,2020
6,Kappel am Albis,162.9,2021
6,Kappel am Albis,166.8,2022
6,Kappel am Albis,174.5,2024
7,Knonau,366.8,2018
7,Knonau,367.5,2019
7,Knonau,366.2,2020
7,Knonau,377.9,2021
7,Knonau,373.4,2022
7,Knonau,381.1,2024
8,Maschwanden,139.9,2018
8,Maschwanden,137.5,2019
8,Maschwanden,136.7,2020
8,Maschwanden,136.7,2021
8,Maschwanden,137.3,2022
8,Maschwanden,144.3,2024
9,Mettmenstetten,390.9,2018
9,Mettmenstetten,399.1,2019
9,Mettmenstetten,412.9,2020
9,Mettmenstetten,427.5,2021
9,Mettmenstetten,432.5,2022
9,Mettmenstetten,442.3,2024
10,Obfelden,742.6,2018
10,Obfelden,758.8,2019
10,Obfelden,766.4,2020
10,Obfelden,763.9,2021
10,Obfelden,767.5,2022
10,Obfelden,790.6,2024
11,Ottenbach,509,2018
11,Ottenbach,515.5,2019
11,Ottenbach,538.6,2020
11,Ottenbach,546.8,2021
11,Ottenbach,569.3,2022
11,Ottenbach,592.2,2024
12,Rifferswil,172.5,2018
12,Rifferswil,173.4,2019
12,Rifferswil,176.3,2020
12,Rifferswil,176.7,2021
12,Rifferswil,176.5,2022
12,Rifferswil,181.3,2024
13,Stallikon,306.2,2018
13,Stallikon,312.4,2019
13,Stallikon,314.7,2020
13,Stallikon,318.2,2021
13,Stallikon,320.6,2022
13,Stallikon,325.2,2024
14,Wettswil am Albis,1376.1,2018
14,Wettswil am Albis,1389.9,2019
14,Wettswil am Albis,1400.8,2020
14,Wettswil am Albis,1402.7,2021
14,Wettswil am Albis,1401.1,2022
14,Wettswil am Albis,1415.6,2024
22,Benken (ZH),151.1,2018
22,Benken (ZH),149.3,2019
22,Benken (ZH),151.2,2020
22,Benken (ZH),150.5,2021
22,Benken (ZH),149.6,2022
22,Benken (ZH),156,2024
23,Berg am Irchel,81.3,2018
23,Berg am Irchel,82.3,2019
23,Berg am Irchel,84.9,2020
23,Berg am Irchel,84.3,2021
23,Berg am Irchel,84.5,2022
23,Berg am Irchel,84,2024
24,Buch am Irchel,95.7,2018
24,Buch am Irchel,95.9,2019
24,Buch am Irchel,100.1,2020
24,Buch am Irchel,100.5,2021
24,Buch am Irchel,101.7,2022
24,Buch am Irchel,104.4,2024
25,Dachsen,711.1,2018
25,Dachsen,709.6,2019
25,Dachsen,710,2020
25,Dachsen,720.4,2021
25,Dachsen,722.2,2022
25,Dachsen,713.3,2024
26,Dorf,118.3,2018
26,Dorf,118.3,2019
26,Dorf,119.8,2020
26,Dorf,125,2021
26,Dorf,128.1,2022
26,Dorf,130.9,2024
27,Feuerthalen,1460.9,2018
27,Feuerthalen,1457.3,2019
27,Feuerthalen,1490.7,2020
27,Feuerthalen,1517.7,2021
27,Feuerthalen,1520.6,2022
27,Feuerthalen,1551.6,2024
28,Flaach,139,2018
28,Flaach,139.6,2019
28,Flaach,140.6,2020
28,Flaach,141.7,2021
28,Flaach,144.9,2022
28,Flaach,146.9,2024
29,Flurlingen,594.2,2018
29,Flurlingen,610.3,2019
29,Flurlingen,641.3,2020
29,Flurlingen,626.4,2021
29,Flurlingen,625.2,2022
29,Flurlingen,628.1,2024
31,Henggart,738.9,2018
31,Henggart,737.3,2019
31,Henggart,756.8,2020
31,Henggart,760.4,2021
31,Henggart,744.9,2022
31,Henggart,773.3,2024
33,Kleinandelfingen,205,2018
33,Kleinandelfingen,201.6,2019
33,Kleinandelfingen,204.5,2020
33,Kleinandelfingen,207.3,2021
33,Kleinandelfingen,207.2,2022
33,Kleinandelfingen,217.5,2024
34,Laufen-Uhwiesen,272.1,2018
